Time;Channel A;Channel B
(ms);(V);(mV)

-94,29695854;-0,32378810;-15,04521000
-94,28879854;-0,32378810;-15,83723000
-94,28063854;-0,32378810;-17,02602000
-94,27247854;-0,32378810;-16,62924000
-94,26431854;-0,32378810;-17,02602000
-94,25615854;-0,32378810;-17,02602000
-94,24799854;-0,32378810;-17,42126000
-94,23983854;-0,32378810;-16,62924000
-94,23167854;-0,32378810;-17,81804000
-94,22351854;-0,32378810;-16,62924000
-94,21535854;-0,31588340;-16,62924000
-94,20719854;-0,31588340;-16,62924000
-94,19903854;-0,31588340;-15,83723000
-94,19087854;-0,31588340;-16,62924000
-94,18271854;-0,31588340;-14,64997000
-94,17455854;-0,31588340;-15,83723000
-94,16639854;-0,31588340;-17,02602000
-94,15823854;-0,31588340;-16,23400000
-94,15007854;-0,31588340;-17,02602000
-94,14191854;-0,31588340;-16,62924000
-94,13375854;-0,31588340;-16,23400000
-94,12559854;-0,30800940;-16,23400000
-94,11743854;-0,30800940;-15,44199000
-94,10927854;-0,30800940;-14,64997000
-94,10111854;-0,30800940;-14,64997000
-94,09295853;-0,30800940;-14,25320000
-94,08479853;-0,30800940;-14,64997000
-94,07663853;-0,30800940;-15,04521000
-94,06847853;-0,30800940;-14,25320000
-94,06031853;-0,30800940;-14,64997000
-94,05215853;-0,30800940;-15,04521000
-94,04399853;-0,30800940;-13,46118000
-94,03583853;-0,30800940;-13,46118000
-94,02767853;-0,30010460;-12,27393000
-94,01951853;-0,30010460;-12,27393000
-94,01135853;-0,30800940;-12,27393000
-94,00319853;-0,30800940;-12,67070000
-93,99503853;-0,30010460;-12,27393000
-93,98687853;-0,30010460;-11,48191000
-93,97871853;-0,30010460;-12,27393000
-93,97055853;-0,30010460;-12,27393000
-93,96239853;-0,30010460;-11,87869000
-93,95423853;-0,30010460;-9,89788300
-93,94607853;-0,29219980;-7,91861400
-93,93791853;-0,29219980;-7,52183800
-93,92975853;-0,29219980;-6,72982200
-93,92159853;-0,29219980;-7,12659900
-93,91343853;-0,29219980;-7,12659900
-93,90527853;-0,29219980;-6,72982200
-93,89711853;-0,29219980;-7,52183800
-93,88895853;-0,29219980;-7,12659900
-93,88079853;-0,29219980;-7,52183800
-93,87263853;-0,28429500;-5,93934500
-93,86447853;-0,29219980;-4,75055300
-93,85631853;-0,29219980;-3,56330000
-93,84815853;-0,29219980;-4,35531500
-93,83999853;-0,29219980;-4,35531500
-93,83183853;-0,29219980;-4,35531500
-93,82367853;-0,29219980;-4,35531500
-93,81551853;-0,28429500;-3,56330000
-93,80735853;-0,28429500;-4,35531500
-93,79919853;-0,28429500;-3,56330000
-93,79103853;-0,28429500;-2,37450800
-93,78287853;-0,28429500;1,18725400
-93,77471853;-0,27642100;2,37450800
-93,76655853;-0,28429500;1,97926900
-93,75839853;-0,27642100;2,37450800
-93,75023853;-0,27642100;2,37450800
-93,74207853;-0,27642100;2,37450800
-93,73391853;-0,27642100;1,97926900
-93,72575853;-0,27642100;1,58249200
-93,71759853;-0,27642100;1,97926900
-93,70943853;-0,27642100;1,58249200
-93,70127853;-0,27642100;3,95853800
-93,69311853;-0,27642100;4,75055300
-93,68495853;-0,27642100;5,54256900
-93,67679853;-0,27642100;5,14733000
-93,66863853;-0,27642100;4,75055300
-93,66047853;-0,27642100;4,35531500
-93,65231853;-0,27642100;5,14733000
-93,64415853;-0,26851620;5,14733000
-93,63599853;-0,26851620;4,75055300
-93,62783853;-0,26851620;4,35531500
-93,61967853;-0,26851620;8,71062900
-93,61151853;-0,26851620;9,89788300
-93,60335853;-0,26061150;10,68990000
-93,59519853;-0,26851620;9,50264500
-93,58703853;-0,26851620;9,50264500
-93,57887853;-0,26061150;9,50264500
-93,57071853;-0,26851620;9,10586800
-93,56255853;-0,26061150;9,10586800
-93,55439853;-0,26061150;9,89788300
-93,54623853;-0,26061150;9,89788300
-93,53807853;-0,26061150;10,68990000
-93,52991853;-0,26061150;11,87869000
-93,52175853;-0,26061150;12,27393000
-93,51359853;-0,26061150;11,87869000
-93,50543853;-0,26061150;11,87869000
-93,49727853;-0,26061150;11,87869000
-93,48911853;-0,26061150;12,27393000
-93,48095853;-0,25270670;12,27393000
-93,47279853;-0,25270670;11,87869000
-93,46463853;-0,25270670;11,87869000
-93,45647853;-0,25270670;13,06594000
-93,44831853;-0,25270670;14,25320000
-93,44015853;-0,25270670;15,04521000
-93,43199853;-0,25270670;13,85796000
-93,42383853;-0,25270670;15,04521000
-93,41567853;-0,25270670;14,25320000
-93,40751853;-0,25270670;14,64997000
-93,39935853;-0,25270670;14,25320000
-93,39119853;-0,24480190;14,64997000
-93,38303853;-0,24480190;14,64997000
-93,37487853;-0,24480190;14,64997000
-93,36671853;-0,24480190;15,04521000
-93,35855853;-0,24480190;15,44199000
-93,35039853;-0,24480190;15,44199000
-93,34223853;-0,24480190;15,83723000
-93,33407853;-0,24480190;15,83723000
-93,32591852;-0,24480190;15,04521000
-93,31775852;-0,24480190;15,83723000
-93,30959852;-0,24480190;12,67070000
-93,30143852;-0,23692790;15,04521000
-93,29327852;-0,23692790;15,44199000
-93,28511852;-0,23692790;16,23400000
-93,27695852;-0,23692790;16,62924000
-93,26879852;-0,23692790;16,62924000
-93,26063852;-0,23692790;16,23400000
-93,25247852;-0,23692790;16,62924000
-93,24431852;-0,23692790;16,62924000
-93,23615852;-0,23692790;16,23400000
-93,22799852;-0,22902310;16,62924000
-93,21983852;-0,22902310;16,23400000
-93,21167852;-0,22902310;16,23400000
-93,20351852;-0,22902310;16,62924000
-93,19535852;-0,22902310;17,02602000
-93,18719852;-0,22902310;16,23400000
-93,17903852;-0,22902310;16,23400000
-93,17087852;-0,22902310;16,62924000
-93,16271852;-0,22902310;16,62924000
-93,15455852;-0,22902310;16,23400000
-93,14639852;-0,22902310;16,62924000
-93,13823852;-0,22111840;16,23400000
-93,13007852;-0,22111840;15,83723000
-93,12191852;-0,22111840;15,83723000
-93,11375852;-0,22111840;15,83723000
-93,10559852;-0,22111840;15,83723000
-93,09743852;-0,22111840;15,44199000
-93,08927852;-0,22111840;15,44199000
-93,08111852;-0,22111840;15,83723000
-93,07295852;-0,22111840;15,04521000
-93,06479852;-0,22111840;15,83723000
-93,05663852;-0,22111840;15,83723000
-93,04847852;-0,22111840;15,44199000
-93,04031852;-0,21321360;15,04521000
-93,03215852;-0,21321360;15,44199000
-93,02399852;-0,21321360;14,64997000
-93,01583852;-0,21321360;14,25320000
-93,00767852;-0,21321360;14,64997000
-92,99951852;-0,21321360;14,25320000
-92,99135852;-0,21321360;14,25320000
-92,98319852;-0,21321360;14,64997000
-92,97503852;-0,21321360;14,64997000
-92,96687852;-0,21321360;14,25320000
-92,95871852;-0,21321360;13,06594000
-92,95055852;-0,20533960;12,27393000
-92,94239852;-0,20533960;12,67070000
-92,93423852;-0,21321360;11,87869000
-92,92607852;-0,20533960;11,48191000
-92,91791852;-0,20533960;11,08667000
-92,90975852;-0,20533960;11,87869000
-92,90159852;-0,20533960;11,87869000
-92,89343852;-0,20533960;12,27393000
-92,88527852;-0,20533960;10,68990000
-92,87711852;-0,20533960;11,48191000
-92,86895852;-0,19743480;9,89788300
-92,86079852;-0,20533960;9,50264500
-92,85263852;-0,20533960;9,50264500
-92,84447852;-0,19743480;9,89788300
-92,83631852;-0,20533960;9,50264500
-92,82815852;-0,20533960;9,50264500
-92,81999852;-0,19743480;9,10586800
-92,81183852;-0,19743480;9,50264500
-92,80367852;-0,19743480;9,10586800
-92,79551852;-0,19743480;9,10586800
-92,78735852;-0,19743480;6,33458400
-92,77919852;-0,19743480;5,54256900
-92,77103852;-0,19743480;5,54256900
-92,76287852;-0,18953000;5,54256900
-92,75471852;-0,18953000;5,93934500
-92,74655852;-0,18953000;5,93934500
-92,73839852;-0,18953000;5,14733000
-92,73023852;-0,18953000;5,54256900
-92,72207852;-0,18953000;5,14733000
-92,71391852;-0,18953000;5,14733000
-92,70575852;-0,18953000;2,37450800
-92,69759852;-0,18162520;2,37450800
-92,68943852;-0,18953000;1,97926900
-92,68127852;-0,18162520;2,77128400
-92,67311852;-0,18953000;1,58249200
-92,66495852;-0,18953000;1,58249200
-92,65679852;-0,18953000;1,18725400
-92,64863852;-0,18162520;1,97926900
-92,64047852;-0,18162520;2,37450800
-92,63231852;-0,18162520;1,97926900
-92,62415852;-0,18162520;-2,37450800
-92,61599852;-0,18162520;-2,77128400
-92,60783852;-0,18162520;-3,56330000
-92,59967852;-0,18162520;-3,16652300
-92,59151852;-0,17375120;-3,56330000
-92,58335852;-0,18162520;-2,77128400
-92,57519852;-0,18162520;-3,95853800
-92,56703851;-0,17375120;-3,56330000
-92,55887851;-0,17375120;-3,56330000
-92,55071851;-0,17375120;-2,37450800
-92,54255851;-0,17375120;-3,95853800
-92,53439851;-0,17375120;-6,72982200
-92,52623851;-0,17375120;-6,72982200
-92,51807851;-0,17375120;-6,72982200
-92,50991851;-0,17375120;-7,52183800
-92,50175851;-0,17375120;-7,52183800
-92,49359851;-0,17375120;-7,52183800
-92,48543851;-0,17375120;-7,52183800
-92,47727851;-0,16584650;-7,52183800
-92,46911851;-0,16584650;-7,91861400
-92,46095851;-0,16584650;-10,29466000
-92,45279851;-0,16584650;-11,48191000
-92,44463851;-0,16584650;-11,87869000
-92,43647851;-0,16584650;-12,67070000
-92,42831851;-0,16584650;-12,27393000
-92,42015851;-0,16584650;-12,27393000
-92,41199851;-0,16584650;-11,08667000
-92,40383851;-0,15794170;-11,87869000
-92,39567851;-0,15794170;-11,87869000
-92,38751851;-0,15794170;-11,48191000
-92,37935851;-0,15794170;-11,08667000
-92,37119851;-0,15794170;-14,64997000
-92,36303851;-0,15794170;-14,64997000
-92,35487851;-0,15794170;-15,44199000
-92,34671851;-0,15794170;-15,44199000
-92,33855851;-0,15794170;-15,44199000
-92,33039851;-0,15794170;-14,25320000
-92,32223851;-0,15794170;-13,46118000
-92,31407851;-0,15794170;-14,64997000
