Frequency;Channel C
(MHz);(dBu)

0,46539307;-48,86954000
0,46730042;-48,85683000
0,46920776;-48,93762000
0,47111511;-48,81511000
0,47302246;-48,83953000
0,47492981;-48,83132000
0,47683716;-48,91531000
0,47874451;-48,88937000
0,48065186;-49,16171000
0,48255920;-49,20379000
0,48446655;-49,28946000
0,48637390;-49,07657000
0,48828125;-49,22013000
0,49018860;-49,10759000
0,49209595;-48,95430000
0,49400330;-49,15256000
0,49591064;-49,17760000
0,49781799;-49,22240000
0,49972534;-48,99348000
0,50163269;-48,84060000
0,50354004;-49,12000000
0,50544739;-49,14153000
0,50735474;-49,28858000
0,50926208;-49,40279000
0,51116943;-49,23577000
0,51307678;-49,38582000
0,51498413;-49,36939000
0,51689148;-49,24306000
0,51879883;-49,33072000
0,52070618;-49,18557000
0,52261353;-49,36621000
0,52452087;-49,44218000
0,52642822;-49,63126000
0,52833557;-49,63088000
0,53024292;-49,37160000
0,53215027;-49,43553000
0,53405762;-49,62261000
0,53596497;-49,68961000
0,53787231;-49,44495000
0,53977966;-49,47293000
0,54168701;-49,48932000
0,54359436;-49,21935000
0,54550171;-49,46027000
0,54740906;-49,53975000
0,54931641;-49,65541000
0,55122375;-49,59864000
0,55313110;-49,33794000
0,55503845;-49,25888000
0,55694580;-49,35559000
0,55885315;-49,51250000
0,56076050;-49,63320000
0,56266785;-49,86079000
0,56457520;-49,90951000
0,56648254;-49,68519000
0,56838989;-49,69613000
0,57029724;-49,85799000
0,57220459;-49,73014000
0,57411194;-49,60981000
0,57601929;-49,67093000
0,57792664;-49,64129000
0,57983398;-49,95574000
0,58174133;-49,83887000
0,58364868;-49,77098000
0,58555603;-49,74630000
0,58746338;-49,52637000
0,58937073;-49,42698000
0,59127808;-49,75677000
0,59318542;-49,72447000
0,59509277;-49,64405000
0,59700012;-49,61308000
0,59890747;-49,67429000
0,60081482;-49,85658000
0,60272217;-50,08466000
0,60462952;-50,12052000
0,60653687;-49,86165000
0,60844421;-49,78364000
0,61035156;-49,94861000
0,61225891;-49,79822000
0,61416626;-49,75742000
0,61607361;-49,81349000
0,61798096;-49,77484000
0,61988831;-50,10414000
0,62179565;-49,99242000
0,62370300;-49,89635000
0,62561035;-49,86273000
0,62751770;-49,99589000
0,62942505;-50,10951000
0,63133240;-50,20610000
0,63323975;-50,09837000
0,63514709;-50,16557000
0,63705444;-50,08629000
0,63896179;-50,18396000
0,64086914;-50,25302000
0,64277649;-49,98019000
0,64468384;-50,20839000
0,64659119;-50,36213000
0,64849854;-50,34151000
0,65040588;-50,38589000
0,65231323;-50,44398000
0,65422058;-50,27870000
0,65612793;-50,39906000
0,65803528;-50,22403000
0,65994263;-50,24631000
0,66184998;-50,35220000
0,66375732;-50,36451000
0,66566467;-50,50348000
0,66757202;-50,38177000
0,66947937;-50,21193000
0,67138672;-50,33959000
0,67329407;-50,14737000
0,67520142;-50,18913000
0,67710876;-50,07355000
0,67901611;-50,19207000
0,68092346;-50,38711000
0,68283081;-50,50037000
0,68473816;-50,20927000
0,68664551;-50,32000000
0,68855286;-50,33080000
0,69046021;-50,25255000
0,69236755;-50,51590000
0,69427490;-50,40331000
0,69618225;-50,17232000
0,69808960;-50,09580000
0,69999695;-50,11301000
0,70190430;-50,42285000
0,70381165;-50,42430000
0,70571899;-50,28563000
0,70762634;-50,23425000
0,70953369;-50,54366000
0,71144104;-50,50029000
0,71334839;-50,52552000
0,71525574;-50,38568000
0,71716309;-50,35080000
0,71907043;-50,50192000
0,72097778;-50,63467000
0,72288513;-50,67878000
0,72479248;-50,67884000
0,72669983;-50,61586000
0,72860718;-50,48883000
0,73051453;-50,37356000
0,73242188;-50,62455000
0,73432922;-50,62808000
0,73623657;-50,68275000
0,73814392;-50,81124000
0,74005127;-50,67621000
0,74195862;-50,36213000
0,74386597;-50,48088000
0,74577332;-50,59317000
0,74768066;-50,71084000
0,74958801;-50,67484000
0,75149536;-50,85701000
0,75340271;-50,81895000
0,75531006;-51,04703000
0,75721741;-51,16238000
0,75912476;-50,81628000
0,76103210;-50,77798000
0,76293945;-50,74051000
0,76484680;-50,91920000
0,76675415;-50,80177000
0,76866150;-50,75169000
0,77056885;-50,91852000
0,77247620;-51,15728000
0,77438354;-51,00978000
0,77629089;-50,90043000
0,77819824;-50,78322000
0,78010559;-50,84981000
0,78201294;-50,86432000
0,78392029;-51,07067000
0,78582764;-51,10154000
0,78773499;-51,11732000
0,78964233;-51,36385000
0,79154968;-51,02677000
0,79345703;-50,80566000
0,79536438;-50,82893000
0,79727173;-50,76856000
0,79917908;-50,72890000
0,80108643;-50,61365000
0,80299377;-50,93977000
0,80490112;-51,06651000
0,80680847;-51,03292000
0,80871582;-50,84808000
0,81062317;-51,14291000
0,81253052;-51,08639000
0,81443787;-51,02440000
0,81634521;-51,08950000
0,81825256;-51,23944000
0,82015991;-51,42702000
0,82206726;-51,25623000
0,82397461;-51,15307000
0,82588196;-51,13114000
0,82778931;-50,97326000
0,82969666;-51,09821000
0,83160400;-51,09361000
0,83351135;-51,03212000
0,83541870;-51,22755000
0,83732605;-51,03724000
0,83923340;-51,19144000
0,84114075;-51,23752000
0,84304810;-51,24612000
0,84495544;-51,10786000
0,84686279;-51,01200000
0,84877014;-51,21384000
0,85067749;-51,41100000
0,85258484;-51,42467000
0,85449219;-51,13897000
0,85639954;-51,11643000
0,85830688;-51,55381000
0,86021423;-51,66933000
0,86212158;-51,35569000
0,86402893;-51,33438000
0,86593628;-51,41953000
0,86784363;-51,52172000
0,86975098;-51,30399000
0,87165833;-51,39862000
0,87356567;-51,43702000
0,87547302;-51,33697000
0,87738037;-51,12950000
0,87928772;-51,32910000
0,88119507;-51,27107000
0,88310242;-51,35197000
0,88500977;-51,39895000
0,88691711;-51,64545000
0,88882446;-51,65633000
0,89073181;-51,49364000
0,89263916;-51,29771000
0,89454651;-51,19779000
0,89645386;-51,25156000
0,89836121;-51,41473000
0,90026855;-51,35695000
0,90217590;-51,73007000
0,90408325;-51,73587000
0,90599060;-51,67821000
0,90789795;-51,62138000
0,90980530;-51,86108000
0,91171265;-51,96111000
0,91362000;-52,20374000
0,91552734;-52,15900000
0,91743469;-51,90174000
0,91934204;-51,65659000
