Time;Channel A;Channel B
(ms);(V);(mV)

-23,58067123;-0,09476501;-8,31385200
-23,57862323;-0,09476501;-7,91861400
-23,57657523;-0,09476501;-7,52183800
-23,57452723;-0,09476501;-7,12659900
-23,57247923;-0,09476501;-8,31385200
-23,57043123;-0,09476501;-7,91861400
-23,56838323;-0,09476501;-8,31385200
-23,56633523;-0,09476501;-7,91861400
-23,56428723;-0,09476501;-7,52183800
-23,56223923;-0,09476501;-7,12659900
-23,56019123;-0,09476501;-6,72982200
-23,55814323;-0,08686024;-5,93934500
-23,55609523;-0,09476501;-5,93934500
-23,55404723;-0,08686024;-5,14733000
-23,55199923;-0,08686024;-5,54256900
-23,54995123;-0,09476501;-5,54256900
-23,54790323;-0,09476501;-5,54256900
-23,54585523;-0,09476501;-5,54256900
-23,54380723;-0,09476501;-5,93934500
-23,54175923;-0,08686024;-5,93934500
-23,53971123;-0,09476501;-6,33458400
-23,53766323;-0,09476501;-5,93934500
-23,53561523;-0,09476501;-5,93934500
-23,53356723;-0,09476501;-6,33458400
-23,53151923;-0,09476501;-5,93934500
-23,52947123;-0,08686024;-5,93934500
-23,52742323;-0,08686024;-6,33458400
-23,52537523;-0,08686024;-6,33458400
-23,52332723;-0,08686024;-5,93934500
-23,52127923;-0,08686024;-5,93934500
-23,51923123;-0,08686024;-5,93934500
-23,51718323;-0,09476501;-6,33458400
-23,51513523;-0,09476501;-5,93934500
-23,51308723;-0,08686024;-6,72982200
-23,51103923;-0,09476501;-6,72982200
-23,50899123;-0,08686024;-6,33458400
-23,50694323;-0,08686024;-5,54256900
-23,50489523;-0,08686024;-5,93934500
-23,50284723;-0,08686024;-6,33458400
-23,50079923;-0,08686024;-5,93934500
-23,49875123;-0,08686024;-5,93934500
-23,49670323;-0,08686024;-5,93934500
-23,49465523;-0,08686024;-6,33458400
-23,49260723;-0,07895546;-5,93934500
-23,49055923;-0,08686024;-6,33458400
-23,48851123;-0,08686024;-6,33458400
-23,48646323;-0,08686024;-6,33458400
-23,48441523;-0,07895546;-3,95853800
-23,48236723;-0,08686024;-6,33458400
-23,48031923;-0,08686024;-5,93934500
-23,47827123;-0,07895546;-5,14733000
-23,47622323;-0,07895546;-4,75055300
-23,47417523;-0,08686024;-4,35531500
-23,47212723;-0,07895546;-3,56330000
-23,47007923;-0,07895546;-3,16652300
-23,46803123;-0,07895546;-3,16652300
-23,46598323;-0,08686024;-3,56330000
-23,46393523;-0,07895546;-3,16652300
-23,46188723;-0,07895546;-3,56330000
-23,45983923;-0,07895546;-3,16652300
-23,45779123;-0,07895546;-3,16652300
-23,45574323;-0,07895546;-3,16652300
-23,45369523;-0,07895546;-3,16652300
-23,45164723;-0,07895546;-3,56330000
-23,44959923;-0,07895546;-3,56330000
-23,44755123;-0,07895546;-2,77128400
-23,44550323;-0,08686024;-5,14733000
-23,44345523;-0,07895546;-3,16652300
-23,44140723;-0,07895546;-3,16652300
-23,43935923;-0,07895546;-2,77128400
-23,43731123;-0,08686024;-3,16652300
-23,43526323;-0,07895546;-3,16652300
-23,43321523;-0,07895546;-2,77128400
-23,43116724;-0,07895546;-2,77128400
-23,42911924;-0,07895546;-3,16652300
-23,42707124;-0,07895546;-3,16652300
-23,42502324;-0,07895546;-3,56330000
-23,42297524;-0,07895546;-3,95853800
-23,42092724;-0,07895546;-3,16652300
-23,41887924;-0,07895546;-3,56330000
-23,41683124;-0,07895546;-3,16652300
-23,41478324;-0,07895546;-3,56330000
-23,41273524;-0,07895546;-3,16652300
-23,41068724;-0,07895546;-2,77128400
-23,40863924;-0,07895546;-3,16652300
-23,40659124;-0,07895546;-2,77128400
-23,40454324;-0,07895546;-3,16652300
-23,40249524;-0,07895546;-3,56330000
-23,40044724;-0,07895546;-3,16652300
-23,39839924;-0,07895546;-2,77128400
-23,39635124;-0,07895546;-1,97926900
-23,39430324;-0,07895546;-1,58249200
-23,39225524;-0,07105069;-1,18725400
-23,39020724;-0,07895546;-1,18725400
-23,38815924;-0,07895546;-1,58249200
-23,38611124;-0,07895546;-1,58249200
-23,38406324;-0,07895546;-1,97926900
-23,38201524;-0,07895546;-1,58249200
-23,37996724;-0,07895546;-2,37450800
-23,37791924;-0,07895546;-1,58249200
-23,37587124;-0,07105069;-0,79047730
-23,37382324;-0,07895546;-0,79047730
-23,37177524;-0,07895546;-1,58249200
-23,36972724;-0,07895546;-1,18725400
-23,36767924;-0,07895546;-1,18725400
-23,36563124;-0,07895546;-1,18725400
-23,36358324;-0,07895546;-1,18725400
-23,36153524;-0,07895546;-0,39523870
-23,35948724;-0,07895546;-0,79047730
-23,35743924;-0,07895546;-0,79047730
-23,35539124;-0,07895546;-1,18725400
-23,35334324;-0,07895546;-1,18725400
-23,35129524;-0,07895546;-1,18725400
-23,34924724;-0,07105069;-0,79047730
-23,34719924;-0,07105069;-0,79047730
-23,34515124;-0,07105069;-1,97926900
-23,34310324;-0,07895546;-1,58249200
-23,34105524;-0,07105069;-1,58249200
-23,33900724;-0,07105069;-0,79047730
-23,33695924;-0,07105069;-0,79047730
-23,33491124;-0,07105069;-0,79047730
-23,33286324;-0,07105069;-0,79047730
-23,33081524;-0,07105069;-1,18725400
-23,32876724;-0,07105069;-1,58249200
-23,32671924;-0,07105069;-1,18725400
-23,32467124;-0,07105069;-1,58249200
-23,32262324;-0,07105069;-1,58249200
-23,32057524;-0,07105069;-1,18725400
-23,31852724;-0,07105069;-1,58249200
-23,31647924;-0,07105069;-1,18725400
-23,31443124;-0,07105069;-0,79047730
-23,31238324;-0,07105069;-0,39523870
-23,31033524;-0,07105069;-1,18725400
-23,30828724;-0,07105069;0,79047730
-23,30623924;-0,06317668;1,18725400
-23,30419124;-0,06317668;1,18725400
-23,30214324;-0,06317668;1,18725400
-23,30009524;-0,07105069;1,58249200
-23,29804724;-0,07105069;1,58249200
-23,29599924;-0,07105069;1,58249200
-23,29395124;-0,06317668;1,18725400
-23,29190324;-0,07105069;1,18725400
-23,28985524;-0,06317668;1,18725400
-23,28780724;-0,07105069;1,18725400
-23,28575924;-0,06317668;1,18725400
-23,28371124;-0,07105069;1,18725400
-23,28166324;-0,06317668;1,97926900
-23,27961524;-0,07105069;1,18725400
-23,27756724;-0,06317668;1,18725400
-23,27551924;-0,07105069;1,18725400
-23,27347124;-0,06317668;1,58249200
-23,27142324;-0,06317668;1,97926900
-23,26937524;-0,06317668;1,18725400
-23,26732724;-0,06317668;1,58249200
-23,26527924;-0,07105069;1,58249200
-23,26323124;-0,06317668;1,18725400
-23,26118324;-0,06317668;1,58249200
-23,25913524;-0,06317668;1,58249200
-23,25708724;-0,06317668;1,18725400
-23,25503924;-0,06317668;1,18725400
-23,25299124;-0,07105069;-0,79047730
-23,25094324;-0,06317668;1,18725400
-23,24889524;-0,06317668;1,58249200
-23,24684724;-0,06317668;0,79047730
-23,24479924;-0,06317668;0,79047730
-23,24275124;-0,06317668;0,79047730
-23,24070324;-0,06317668;1,18725400
-23,23865524;-0,06317668;1,18725400
-23,23660724;-0,06317668;0,79047730
-23,23455924;-0,06317668;1,58249200
-23,23251124;-0,06317668;1,58249200
-23,23046324;-0,06317668;1,97926900
-23,22841524;-0,06317668;1,97926900
-23,22636724;-0,06317668;1,97926900
-23,22431924;-0,06317668;2,37450800
-23,22227124;-0,06317668;2,77128400
-23,22022324;-0,06317668;2,77128400
-23,21817524;-0,06317668;3,56330000
-23,21612724;-0,06317668;3,56330000
-23,21407924;-0,06317668;3,56330000
-23,21203124;-0,05527190;2,77128400
-23,20998324;-0,06317668;3,16652300
-23,20793524;-0,06317668;3,16652300
-23,20588724;-0,06317668;3,56330000
-23,20383924;-0,06317668;3,16652300
-23,20179124;-0,06317668;3,16652300
-23,19974324;-0,06317668;3,16652300
-23,19769524;-0,05527190;3,56330000
-23,19564724;-0,06317668;3,16652300
-23,19359924;-0,06317668;3,16652300
-23,19155124;-0,06317668;3,16652300
-23,18950324;-0,06317668;2,77128400
-23,18745524;-0,06317668;3,56330000
-23,18540724;-0,06317668;3,95853800
-23,18335924;-0,06317668;3,56330000
-23,18131124;-0,06317668;3,56330000
-23,17926324;-0,06317668;3,56330000
