Time;Channel A;Channel B
(ms);(V);(mV)

91,63679797;0,07895546;122,40100000
91,64495797;0,07895546;118,46390000
91,65311797;0,07895546;118,46390000
91,66127797;0,07895546;122,40100000
91,66943797;0,08686024;122,40100000
91,67759797;0,08686024;122,40100000
91,68575797;0,08686024;122,40100000
91,69391797;0,08686024;122,40100000
91,70207797;0,08686024;122,40100000
91,71023797;0,08686024;118,46390000
91,71839797;0,08686024;122,40100000
91,72655797;0,08686024;118,46390000
91,73471797;0,08686024;118,46390000
91,74287797;0,09476501;118,46390000
91,75103797;0,09476501;122,40100000
91,75919797;0,09476501;122,40100000
91,76735797;0,09476501;122,40100000
91,77551797;0,09476501;122,40100000
91,78367797;0,09476501;122,40100000
91,79183797;0,09476501;122,40100000
91,79999797;0,09476501;122,40100000
91,80815797;0,09476501;122,40100000
91,81631797;0,09476501;122,40100000
91,82447797;0,09476501;122,40100000
91,83263797;0,10266980;126,35330000
91,84079797;0,10266980;122,40100000
91,84895797;0,10266980;122,40100000
91,85711797;0,10266980;122,40100000
91,86527797;0,10266980;122,40100000
91,87343797;0,10266980;126,35330000
91,88159797;0,10266980;122,40100000
91,88975797;0,10266980;126,35330000
91,89791797;0,10266980;122,40100000
91,90607797;0,10266980;126,35330000
91,91423797;0,10266980;126,35330000
91,92239797;0,10266980;126,35330000
91,93055797;0,10266980;126,35330000
91,93871797;0,10266980;126,35330000
91,94687797;0,11054380;126,35330000
91,95503797;0,10266980;126,35330000
91,96319797;0,11054380;126,35330000
91,97135797;0,11054380;126,35330000
91,97951797;0,11054380;126,35330000
91,98767797;0,11844860;130,30570000
91,99583797;0,11054380;126,35330000
92,00399797;0,11054380;126,35330000
92,01215797;0,11054380;130,30570000
92,02031797;0,11054380;130,30570000
92,02847797;0,11844860;130,30570000
92,03663797;0,11844860;126,35330000
92,04479797;0,11844860;130,30570000
92,05295797;0,11844860;126,35330000
92,06111797;0,11844860;126,35330000
92,06927797;0,11844860;130,30570000
92,07743797;0,11844860;130,30570000
92,08559797;0,11844860;126,35330000
92,09375797;0,11844860;126,35330000
92,10191797;0,11844860;126,35330000
92,11007797;0,11844860;130,30570000
92,11823797;0,11844860;126,35330000
92,12639797;0,12635340;130,30570000
92,13455797;0,12635340;126,35330000
92,14271797;0,12635340;130,30570000
92,15087797;0,12635340;130,30570000
92,15903797;0,12635340;130,30570000
92,16719797;0,12635340;130,30570000
92,17535798;0,12635340;130,30570000
92,18351798;0,12635340;130,30570000
92,19167798;0,12635340;130,30570000
